author,book_title,genre,pages_amt,price,publish_date,rating_avg,ratings_amt,reviews_amt
Stuart Gibbs,Spy School British Invasion,science-fiction,320 pages,"Kindle Store
$10.99
",April 30th 2019,4.65,1782,136
Max Barry,Providence,science-fiction,352 pages,"Kindle Store
$13.99
",April 16th 2020,3.86,631,173
Lisa   Maxwell,The Last Magician,science-fiction,500 pages,"Kindle Store
$9.99
",July 18th 2017,4.07,10651,2356
Isla Frost,Firstborn Academy: Shadow Trials,science-fiction,276 pages,"Kindle Unlimited
",September 23rd 2019,4.11,1660,88
"Dennis E. Taylor,Ray Porter",For We Are Many,science-fiction,9 pages,Amazon,April 18th 2017,4.38,30291,1595
"Lee Savino,Lili Zander",Draekon Pirate,science-fiction,258 pages,Amazon UK,March 24th 2020,4.49,212,47
Salvador Mercer,Lunar Discovery: Let the Space Race Begin,science-fiction,300 pages,"Kindle Store
$0.00
",September 24th 2015,4.07,1027,104
"Faith Hunter,Khristine Hvam",Junkyard Cats,science-fiction,,Amazon,January 2nd 2020,3.44,2771,443
Michael C. Grumley,Catalyst,science-fiction,438 pages,"Kindle Unlimited
",November 18th 2015,4.36,7572,393
Dave Willmarth,Shadow Sun Expansion,science-fiction,629 pages,"Kindle Unlimited
",August 2nd 2019,4.49,1630,169
Dean Koontz,The Whispering Room,science-fiction,492 pages,"Kindle Store
$7.99
",November 21st 2017,4.21,12454,1370
T.A. White,Rules of Redemption,science-fiction,420 pages,Kobo,March 7th 2019,4.47,4401,393
"Brian K. Vaughan,Cliff Chiang,Matt Wilson,Jared K. Fletcher","Paper Girls, Vol. 3",science-fiction,128 pages,Amazon,August 8th 2017,4.08,13905,1395
Michael Crichton,Dragon Teeth,science-fiction,295 pages,"Kindle Store
$8.49
",June 1st 2017,3.78,25569,3063
James S.A. Corey,Strange Dogs,science-fiction,112 pages,Amazon,July 18th 2017,3.97,6874,518
Joshua Dalzelle,Marine,science-fiction,273 pages,Amazon,December 27th 2018,4.37,1926,141
Jeff Wheeler,Mirror Gate,science-fiction,348 pages,"Kindle Unlimited
",August 28th 2018,4.37,7258,365
Kyla Stone,Edge of Collapse,science-fiction,318 pages,"Kindle Unlimited
",January 31st 2020,4.54,365,72
Evan Currie,Archangel Rising,science-fiction,282 pages,"Kindle Unlimited
",January 14th 2020,4.43,927,64
Marko Kloos,Aftershocks,science-fiction,286 pages,"Kindle Unlimited
",July 1st 2019,4.12,3682,349
Honor Raconteur,Breaking and Entering 101,science-fiction,223 pages,"Kindle Store
$4.99
",March 20th 2020,4.46,334,44
Richard   Phillips,Mark of Fire,science-fiction,302 pages,"Kindle Unlimited
",November 1st 2017,3.81,2691,179
James S.A. Corey,Auberon,science-fiction,78 pages,Kobo,November 12th 2019,4.19,3669,262
Jeff Wheeler,Iron Garland,science-fiction,352 pages,"Kindle Unlimited
",November 13th 2018,4.44,6192,312
Brandon Sanderson,Firefight,science-fiction,416 pages,"Kindle Store
$9.99
",January 6th 2015,4.28,76776,5773
Erin  Macdonald,The Science of Sci-Fi: From Warp Speed to Interstellar Travel,science-fiction,4 pages,Amazon,November 19th 2019,3.95,1069,145
Bella Forrest,The Gender War,science-fiction,401 pages,"Kindle Unlimited
",February 9th 2017,4.09,10822,431
Laura Lam,Goldilocks,science-fiction,352 pages,"Kindle Store
$13.99
",April 30th 2020,4.01,235,164
Astrid Scholte,Four Dead Queens,science-fiction,413 pages,"Kindle Store
$8.99
",February 26th 2019,3.76,10400,2224
James S.A. Corey,Tiamat's Wrath,science-fiction,534 pages,"Kindle Store
$11.99
",March 26th 2019,4.59,24720,1842
Andrew Hunter Murray,The Last Day,science-fiction,432 pages,Amazon UK,2020,3.81,1251,215
Dennis E. Taylor,We Are Legion (We Are Bob),science-fiction,383 pages,Amazon,September 20th 2016,4.29,48537,4116
Dave Willmarth,Shadow Sun Survival,science-fiction,407 pages,"Kindle Unlimited
",March 3rd 2019,4.45,2306,255
"Kieron Gillen,Salvador Larroca,Edgar Delgado,Mike Norton,David Curiel,Max Fiumara,Dave    Stewart,Joe Caramagna","Star Wars: Darth Vader, Vol. 4: End of Games",science-fiction,144 pages,"Kindle Unlimited
",December 6th 2016,4.19,3583,302
Kassandra Montag,After the Flood,science-fiction,432 pages,Amazon,September 3rd 2019,3.72,9709,1533
Alexa Donne,The Stars We Steal,science-fiction,400 pages,Amazon,February 4th 2020,3.52,1230,399
"Nick Spencer,Ryan Ottley,Cliff Rathburn",FCBD 2018: Amazing Spider-Man/Guardians of the Galaxy #1,science-fiction,,"Kindle Store
$0.00
",May 5th 2018,3.95,2098,54
Regine Abel,Doom,science-fiction,191 pages,"Kindle Unlimited
",February 29th 2020,4.04,251,31
Justin A. Reynolds,Opposite of Always,science-fiction,451 pages,"Kindle Store
$9.99
",March 5th 2019,3.72,9127,1873
Erin Raegan,"Playing Cards With Aliens (Kilbus Lord, #1)",science-fiction,198 pages,"Kindle Unlimited
",April 28th 2020,4.37,57,8
Ella Maven,The Alien's Undoing,science-fiction,201 pages,"Kindle Unlimited
",April 27th 2020,4.33,91,13
Frost Kay,The Tainted,science-fiction,,Amazon,January 15th 2019,4.20,881,126
"Jason Aaron,John Cassaday,Kieron Gillen,Laura   Martin,Chris Eliopoulos,Stuart Immonen,Ángel Unzueta,Mike Mayhew,Leinil Francis Yu,Terry Dodson,Jorge Molina,Mike Deodato,Salvador Larroca,David Marquez","Star Wars, Vol. 1: Skywalker Strikes",science-fiction,160 pages,"Kindle Store
$16.99
",October 6th 2015,4.13,10164,780
James S.A. Corey,Persepolis Rising,science-fiction,608 pages,Amazon,December 5th 2017,4.36,31300,1948
T.A. White,Age of Deception,science-fiction,431 pages,Kobo,February 5th 2020,4.62,2372,274
Ella Maven,The Alien's Escape,science-fiction,,"Kindle Unlimited
",March 30th 2020,4.13,230,30
Margaret Atwood,The Heart Goes Last,science-fiction,320 pages,Amazon,September 29th 2015,3.37,51857,6145
Victoria Aveyard,Broken Throne,science-fiction,400 pages,Amazon,May 7th 2019,4.03,7734,908
Dustin Brady,Trapped in a Video Game: Book One,science-fiction,129 pages,Amazon,July 5th 2016,4.34,1475,70
Arkady Martine,A Memory Called Empire,science-fiction,462 pages,Amazon,March 2019,4.18,7473,1373
John Lanchester,The Wall,science-fiction,272 pages,Amazon UK,March 17th 2020,3.63,8498,1115
Ella Maven,The Alien's Ransom,science-fiction,244 pages,"Kindle Unlimited
",February 24th 2020,4.11,323,44
Frost Kay,The Exiled,science-fiction,,Amazon,,4.39,637,83
Andrew Barrer,Young Blood,science-fiction,95 pages,"Kindle Unlimited
",February 18th 2020,3.99,488,54
James S.A. Corey,Babylon's Ashes,science-fiction,538 pages,Amazon CA,December 6th 2016,4.22,40184,2322
Dakota Krout,Regicide,science-fiction,331 pages,"Kindle Unlimited
",July 16th 2018,4.54,5089,265
L.M. Kerr,Reborn: Apocalypse Volume 1,science-fiction,692 pages,Amazon,May 13th 2019,4.42,2157,138
Daniel Schinhofen,Can of Worms,science-fiction,,"Kindle Unlimited
",April 16th 2020,4.62,233,34
"Fabian Nicieza,Paco Díaz,Paco Diaz,Sam Wood,Sam Wood",Marvel Avengers Alliance #1,science-fiction,29 pages,Amazon,,4.10,15405,151
Dakota Krout,Rexus: Side Quest,science-fiction,169 pages,Amazon,January 1st 2019,4.36,2427,215
"Alexander C. Kane,Bahni Turpin",Andrea Vernon and the Corporation for UltraHuman Protection,science-fiction,9 pages,Amazon,August 22nd 2017,3.84,1541,286
James S.A. Corey,Nemesis Games,science-fiction,536 pages,"Kindle Store
$9.99
",June 2nd 2015,4.40,52235,2993
"Rivers Solomon,Daveed Diggs,William Hutson,Jonathan Snipes",The Deep,science-fiction,166 pages,Amazon CA,November 5th 2019,3.75,6093,1556
Martha Wells,The Future of Work: Compulsory,science-fiction,5 pages,Amazon,December 17th 2018,4.20,101,22
Miranda Bridges,Chosen By A Beast,science-fiction,156 pages,Amazon,December 16th 2019,4.03,1248,102
Dianne Duvall,The Lasaran,science-fiction,460 pages,"Kindle Store
$3.99
",April 21st 2020,4.43,568,119
Martha Wells,"Home: Habitat, Range, Niche, Territory",science-fiction,17 pages,Amazon,May 5th 2020,4.39,75,19
Nicole Snow,No Broken Beast,science-fiction,430 pages,Amazon,November 5th 2019,4.11,2163,315
V.E. Schwab,Vengeful,science-fiction,462 pages,"Kindle Store
$9.99
",September 25th 2018,4.24,30380,5183
John Scalzi,The Consuming Fire,science-fiction,304 pages,Amazon UK,October 16th 2018,4.23,15899,1592
"Amie Kaufman,Jay Kristoff,Marie Lu",Gemina,science-fiction,659 pages,Kobo,October 18th 2016,4.51,49012,10399
"Giovanna Fletcher,Tom  Fletcher",The Eve Illusion,science-fiction,400 pages,Amazon UK,April 16th 2020,4.42,777,122
Christina Dalcher,Master Class,science-fiction,,Amazon,April 21st 2020,3.97,580,279
A.G. Riddle,Genome,science-fiction,517 pages,Amazon,October 12th 2017,4.14,8576,430
Jodi Taylor,Plan for the Worst,science-fiction,480 pages,Amazon,April 16th 2020,4.67,812,110
"Larry Correia,Adam Baldwin",A Murder of Manatees,science-fiction,2 pages,Amazon,January 23rd 2018,3.62,1192,199
A.G. Riddle,The Solar War,science-fiction,498 pages,Amazon,June 25th 2019,4.25,5839,304
Patricia Cornwell,Quantum,science-fiction,353 pages,Amazon,October 1st 2019,2.93,11834,1657
Nnedi Okorafor,Binti,science-fiction,96 pages,Amazon,September 22nd 2015,3.93,41088,6380
S.J. Sanders,Arobi's Queen,science-fiction,232 pages,Amazon,April 27th 2020,4.29,161,15
Becky Chambers,"To Be Taught, If Fortunate",science-fiction,153 pages,Amazon,September 3rd 2019,4.23,9730,1750
A.G. Riddle,Pandemic,science-fiction,696 pages,Kobo,April 5th 2017,4.02,20341,1433
Andy Weir,Artemis,science-fiction,305 pages,"Kindle Store
$13.99
",November 14th 2017,3.66,159900,19409
Lindsay Buroker,Home Front,science-fiction,463 pages,Amazon,April 24th 2020,4.80,418,44
Ted Chiang,Exhalation: Stories,science-fiction,352 pages,Amazon,May 7th 2019,4.29,24181,3469
N.K. Jemisin,The Obelisk Gate,science-fiction,410 pages,Amazon,August 18th 2016,4.31,74043,6015
Victoria Aveline,Choosing Theo,science-fiction,306 pages,"Kindle Unlimited
",March 4th 2020,4.40,577,98
"Stephen King,Mark Edward Geyer",Elevation,science-fiction,146 pages,Amazon UK,October 30th 2018,3.68,71401,9393
James   Maxwell,A Girl From Nowhere,science-fiction,446 pages,"Kindle Unlimited
",May 1st 2020,4.08,1172,96
Martha Wells,All Systems Red,science-fiction,144 pages,Amazon UK,May 2nd 2017,4.16,53867,7063
Blake Crouch,Recursion,science-fiction,336 pages,"Kindle Store
$11.99
",June 11th 2019,4.18,77217,11464
Dean Koontz,Devoted,science-fiction,380 pages,"Kindle Unlimited
",March 31st 2020,4.23,6128,646
Angela Garbes,Like a Mother: A Feminist Journey Through the Science and Culture of Pregnancy,science,256 pages,Amazon,May 29th 2018,4.27,4450,561
Richard Dawkins,Outgrowing God: A Beginner’s Guide,science,304 pages,Amazon,September 19th 2019,3.99,1786,268
Catherine Chung,The Tenth Muse,science,291 pages,Amazon,June 18th 2019,4.04,2929,573
Margaret Renkl,Late Migrations: A Natural History of Love and Loss,science,248 pages,"Kindle Store
$13.49
",July 9th 2019,4.28,1973,397
Nathan H. Lents,"Human Errors: A Panorama of Our Glitches, from Pointless Bones to Broken Genes",science,255 pages,"Kindle Store
$9.99
",May 1st 2018,3.94,2049,276
Kate    Allen,The Line Tender,science,384 pages,Amazon,April 16th 2019,4.28,2109,544
Amanda Little,"The Fate of Food: What We'll Eat in a Bigger, Hotter, Smarter World",science,352 pages,"Kindle Store
$13.99
",June 4th 2019,4.19,702,137
"B.J. Fogg,Doug Abrams",Tiny Habits: The Small Changes That Change Everything,science,320 pages,"Kindle Store
$14.99
",December 31st 2019,4.15,1295,246
Susan Fowler,Whistleblower: My Journey to Silicon Valley and Fight for Justice at Uber,science,288 pages,"Kindle Store
$14.99
",February 18th 2020,4.20,901,119
Robert Wright,Why Buddhism is True: The Science and Philosophy of Meditation and Enlightenment,science,336 pages,Amazon,August 8th 2017,4.03,12090,1270
David Nott,War Doctor: Surgery on the Front Line,science,355 pages,Amazon,February 21st 2019,4.60,3013,302
Jan Eliasberg,Hannah's War,science,312 pages,"Kindle Store
$9.99
",March 3rd 2020,3.85,474,117
Lindsey Fitzharris,The Butchering Art: Joseph Lister's Quest to Transform the Grisly World of Victorian Medicine,science,304 pages,"Kindle Store
$10.99
",October 31st 2017,4.29,8233,1062
Sam Quinones,Dreamland: The True Tale of America's Opiate Epidemic,science,384 pages,Amazon,April 21st 2015,4.25,20253,2807
Richard Preston,"Crisis in the Red Zone: The Story of the Deadliest Ebola Outbreak in History, and of the Outbreaks to Come",science,375 pages,"Kindle Store
$13.99
",July 23rd 2019,4.40,2679,458
Annaka Harris,Conscious: A Brief Guide to the Fundamental Mystery of the Mind,science,144 pages,"Kindle Store
$12.99
",June 4th 2019,3.94,2896,331
"Irvin D. Yalom,پیام یزدانی",Creatures of a Day: And Other Tales of Psychotherapy,science,215 pages,Amazon,February 24th 2015,4.15,5730,459
"Asia Citro,Marion Lindsay",Dragons and Marshmallows,science,96 pages,"Kindle Store
$0.00
",March 14th 2017,4.30,1432,264
Jeremy   Brown,Influenza: The Hundred-Year Hunt to Cure the Deadliest Disease in History,science,272 pages,"Kindle Store
$2.99
",December 18th 2018,3.95,883,162
Wendy Mitchell,Somebody I Used to Know: A Memoir,science,272 pages,"Kindle Store
$13.99
",June 5th 2018,4.41,3071,360
Jason Fagone,"The Woman Who Smashed Codes: A True Story of Love, Spies, and the Unlikely Heroine who Outwitted America's Enemies",science,444 pages,Amazon ES,September 26th 2017,4.14,11083,1917
Kirk Wallace Johnson,The Feather Thief,science,336 pages,"Kindle Store
$13.99
",April 23rd 2019,4.02,13208,2165
Liza Mundy,Code Girls: The Untold Story of the American Women Code Breakers Who Helped Win World War II,science,416 pages,"Kindle Store
$3.99
",October 10th 2017,3.93,11773,2010
Christie Watson,The Language of Kindness: A Nurse's Story,science,336 pages,Amazon UK,May 8th 2018,4.15,5800,654
"Jason Fung,Jimmy Moore","The Complete Guide to Fasting: Heal Your Body Through Intermittent, Alternate-Day, and Extended Fasting",science,304 pages,"Kindle Store
$9.99
",October 16th 2016,4.37,7873,713
Mike Isaac,Super Pumped: The Battle for Uber,science,387 pages,"Kindle Store
$14.99
",September 3rd 2019,4.17,5456,507
James R. Doty,Into the Magic Shop: A Neurosurgeon's Quest to Discover the Mysteries of the Brain and the Secrets of the Heart,science,288 pages,Amazon,February 2nd 2016,4.26,8469,1035
Hope Jahren,The Story of More: How We Got to Climate Change and Where to Go from Here,science,224 pages,"Kindle Store
$11.99
",March 3rd 2020,4.33,528,121
Jared Diamond,Upheaval: Turning Points for Nations in Crisis,science,512 pages,"Kindle Store
$16.99
",May 7th 2019,3.86,3913,554
"Peter Wohlleben,Jane Billinghurst,Jeffrey Moussaieff Masson,Thomas Judd","The Inner Life of Animals: Love, Grief, and Compassion: Surprising Observations of a Hidden World",science,,Kobo,December 19th 2017,3.69,3866,445
Kate Winkler Dawson,"American Sherlock: Murder, Forensics, and the Birth of American CSI",science,335 pages,"Kindle Store
$13.99
",February 11th 2020,3.67,1161,204
Sönke Ahrens,"How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking – for Students, Academics and Nonfiction Book Writers",science,178 pages,Amazon UK,February 21st 2017,4.33,865,141
"Lauren Gunderson,Kate Mulgrew,Francesca Faridany",The Half-Life of Marie Curie,science,,Amazon,December 5th 2019,3.88,2387,339
Oliver Sacks,Gratitude,science,49 pages,"Kindle Store
$9.99
",November 24th 2015,4.16,14900,1628
Patrik Svensson,Ålevangeliet,science,280 pages,Amazon,July 30th 2019,3.96,1719,197
Kai-Fu Lee,"AI Superpowers: China, Silicon Valley, and the New World Order",science,255 pages,Amazon IN,September 25th 2018,4.16,6714,873
Gregory Zuckerman,The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution,science,304 pages,"Kindle Store
$15.99
",November 7th 2019,4.11,4147,352
"Andrew Leatherbarrow,Elizabeth Petrey",Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,science,256 pages,"Kindle Unlimited
",April 26th 2016,3.85,3876,394
Emily Oster,"Cribsheet: A Data-Driven Guide to Better, More Relaxed Parenting, from Birth to Preschool",science,352 pages,"Kindle Store
$13.99
",April 9th 2019,4.13,6317,689
"Emily Nagoski,Amelia Nagoski",Burnout: The Secret to Unlocking the Stress Cycle,science,277 pages,Amazon UK,March 26th 2019,3.97,4819,783
Tom     Phillips,Humans: A Brief History of How We F*cked It All Up,science,272 pages,"Kindle Store
$5.99
",July 26th 2018,4.07,5884,671
Stephen Hawking,Black Holes: The Reith Lectures,science,80 pages,Amazon,May 5th 2016,4.27,3167,271
Kathryn Mannix,"With the End in Mind: Dying, Death, and Wisdom in an Age of Denial",science,352 pages,"Kindle Store
$2.99
",January 16th 2018,4.58,2153,323
Robin Cook,Pandemic,science,386 pages,"Kindle Store
$4.99
",December 11th 2018,3.30,3497,529
Rutger Bregman,De meeste mensen deugen,science,521 pages,Amazon,September 2019,4.34,4141,528
Catharine Arnold,Pandemic 1918: The Story of the Deadliest Influenza in History,science,368 pages,Amazon,January 11th 2018,3.83,822,157
Siddhartha Mukherjee,The Gene: An Intimate History,science,592 pages,"Kindle Unlimited
",May 17th 2016,4.36,28620,3025
Norman Ohler,Der totale Rausch: Drogen im Dritten Reich,science,368 pages,"Kindle Store
$10.99
",September 10th 2015,4.03,10720,1256
Johann Hari,Lost Connections: Uncovering the Real Causes of Depression - and the Unexpected Solutions,science,322 pages,Amazon UK,January 23rd 2018,4.31,14383,1880
Kate   Murphy,You're Not Listening: What You're Missing and Why It Matters,science,278 pages,"Kindle Store
$13.99
",January 7th 2020,4.14,1890,462
Michael   Lewis,The Undoing Project: A Friendship That Changed Our Minds,science,368 pages,"Kindle Store
$9.61
",October 31st 2017,3.99,41766,3521
"Jonathan Haidt,Greg Lukianoff",The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,science,352 pages,"Kindle Store
$4.99
",September 4th 2018,4.23,13063,1745
Lee Child,The Hero: The Enduring Myth That Makes Us Human,science,96 pages,"Kindle Store
$2.99
",November 26th 2019,3.33,1889,180
Meredith May,"The Honey Bus: A Memoir of Loss, Courage and a Girl Saved by Bees",science,336 pages,Amazon,April 2nd 2019,4.32,3555,642
Susannah Cahalan,The Great Pretender: The Undercover Mission That Changed Our Understanding of Madness,science,382 pages,"Kindle Store
$14.99
",November 5th 2019,3.64,5096,741
Caitlin Doughty,From Here to Eternity: Traveling the World to Find the Good Death,science,272 pages,"Kindle Store
$9.49
",October 9th 2018,4.28,18801,2422
Carlo Rovelli,L'ordine del tempo,science,208 pages,"Kindle Store
$13.99
",May 25th 2017,4.08,11167,1467
Michael Crichton,Dragon Teeth,science,295 pages,"Kindle Store
$8.49
",June 1st 2017,3.78,25569,3063
Jonathan Safran Foer,We Are the Weather: Saving the Planet Begins at Breakfast,science,288 pages,"Kindle Store
$11.99
",September 17th 2019,3.75,5572,1027
Graham Moore,The Last Days of Night,science,371 pages,"Kindle Store
$14.99
",August 16th 2016,4.15,28143,3794
"Samin Nosrat,Wendy MacNaughton","Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",science,480 pages,Amazon,April 25th 2017,4.54,15259,1278
Kerry Daynes,The Dark Side of the Mind: True Stories from My Life as a Forensic Psychologist,science,304 pages,Amazon UK,May 30th 2019,4.13,1103,91
Daniel H. Pink,When: The Scientific Secrets of Perfect Timing,science,272 pages,"Kindle Store
$12.99
",January 9th 2018,3.80,18132,1821
Lulu Miller,"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",science,240 pages,"Kindle Store
$11.99
",April 14th 2020,4.40,258,59
Lynne   Kelly,Song for a Whale,science,303 pages,"Kindle Store
$7.99
",February 5th 2019,4.27,2988,622
"Michael T. Osterholm,Mark Olshaker",Deadliest Enemy: Our War Against Killer Germs,science,352 pages,"Kindle Store
$14.99
",March 14th 2017,4.37,1063,152
"Nir Eyal,Julie Li",Indistractable: How to Control Your Attention and Choose Your Life,science,273 pages,"Kindle Store
$12.61
",September 10th 2019,3.80,5420,747
"Adam Kucharski,Francesca Barrie",The Rules of Contagion: Why Things Spread - and Why They Stop,science,352 pages,Amazon,February 13th 2020,3.89,394,59
Erin  Macdonald,The Science of Sci-Fi: From Warp Speed to Interstellar Travel,science,4 pages,Amazon,November 19th 2019,3.95,1069,145
Beth Macy,"Dopesick: Dealers, Doctors, and the Drug Company that Addicted America",science,384 pages,"Kindle Store
$3.99
",August 7th 2018,4.11,18666,2577
Sebastian Junger,Tribe: On Homecoming and Belonging,science,182 pages,"Kindle Store
$4.99
",May 24th 2016,4.03,27962,3001
Sarah Frier,No Filter: The Inside Story of Instagram,science,352 pages,"Kindle Store
$14.99
",April 14th 2020,4.26,295,47
Jason Fung,The Obesity Code: Unlocking the Secrets of Weight Loss,science,328 pages,Amazon,March 4th 2016,4.40,15761,1899
Matt    Parker,Humble Pi: A Comedy of Maths Errors,science,314 pages,Amazon UK,March 7th 2019,4.18,2681,299
Hope Jahren,Lab Girl,science,290 pages,Amazon UK,April 5th 2016,4.02,45912,6768
Ali Benjamin,The Thing About Jellyfish,science,352 pages,"Kindle Store
$7.99
",September 22nd 2015,4.09,25321,3824
Margot Lee Shetterly,Hidden Figures,science,368 pages,"Kindle Store
$11.99
",December 6th 2016,3.95,70089,7900
Barbara Kingsolver,Unsheltered,science,,Amazon,October 16th 2018,3.62,38968,5843
Laura Spinney,Pale Rider: The Spanish Flu of 1918 and How it Changed the World,science,332 pages,Amazon,June 1st 2017,3.88,2559,435
David   Epstein,Range: Why Generalists Triumph in a Specialized World,science,352 pages,"Kindle Store
$14.99
",May 28th 2019,4.18,15643,1759
Matt   McCarthy,The Real Doctor Will See You Shortly: A Physician's First Year,science,336 pages,"Kindle Store
$1.99
",April 7th 2015,4.06,4831,656
Stephen Hawking,Brief Answers to the Big Questions,science,256 pages,Amazon,October 16th 2018,4.29,27304,2572
Cal Newport,Digital Minimalism: Choosing a Focused Life in a Noisy World,science,302 pages,"Kindle Store
$9.99
",February 5th 2019,4.07,24946,3041
Paolo Giordano,Nel contagio,science,63 pages,Amazon,May 5th 2020,3.71,814,116
Angela Duckworth,Grit,science,277 pages,"Kindle Store
$2.99
",May 3rd 2016,4.08,60231,4849
Richard  Shepherd,Unnatural Causes,science,400 pages,Amazon,September 20th 2018,4.36,10740,910
John Grisham,The Tumor,science,67 pages,Amazon CA,January 19th 2016,3.73,13558,962
Michael   Lewis,The Fifth Risk: Undoing Democracy,science,256 pages,Amazon,December 3rd 2019,4.07,28968,3153
"Elizabeth Jenner,Kate Wilson,Nia Roberts,Axel Scheffler,Graham Medley",Coronavirus: A Book for Children,science,26 pages,Amazon,April 13th 2020,4.18,912,65
Kate  Moore,The Radium Girls: The Dark Story of America's Shining Women,science,479 pages,"Kindle Store
$7.59
",May 2nd 2017,4.16,65514,9768
"Hans Rosling,Ola Rosling,Anna Rosling Rönnlund",Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,science,342 pages,Amazon,January 25th 2018,4.38,82383,7896
Greta Thunberg,No One Is Too Small to Make a Difference,science,112 pages,Amazon,November 12th 2019,4.01,11957,1640
Ashlee Vance,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",science,400 pages,Amazon IN,May 19th 2015,4.23,206677,8598
Anna Wiener,Uncanny Valley: A Memoir,science,288 pages,"Kindle Store
$13.99
",January 14th 2020,3.75,7555,1036
Marie Benedict,The Other Einstein,science,304 pages,"Kindle Unlimited
",October 18th 2016,3.76,34929,4575
Michael Pollan,Caffeine: How Caffeine Created the Modern World,science,,Amazon,January 30th 2020,3.70,3545,367
Matthew Walker,Why We Sleep: Unlocking the Power of Sleep and Dreams,science,368 pages,Amazon IN,October 3rd 2017,4.43,52129,6441
Richard Powers,The Overstory,science,502 pages,Amazon UK,April 2nd 2019,4.17,51233,8116
John Carreyrou,Bad Blood: Secrets and Lies in a Silicon Valley Startup,science,352 pages,Kobo,May 21st 2018,4.44,141031,14156
Lawrence Wright,The End of October,science,400 pages,Amazon IN,April 28th 2020,4.05,713,154
Victoria Aveyard,Glass Sword,romance,444 pages,"Kindle Store
$11.99
",February 9th 2016,3.90,174644,17285
Judy Leigh,Five French Hens,romance,216 pages,Amazon,December 5th 2019,4.01,1302,108
Erica Ridley,Kiss of a Duke,romance,216 pages,"Kindle Store
$0.00
",November 6th 2018,4.36,505,201
Elin Hilderbrand,What Happens in Paradise,romance,432 pages,"Kindle Store
$14.99
",October 8th 2019,4.00,21577,1848
Brigid Kemmerer,A Curse So Dark and Lonely,romance,484 pages,"Kindle Store
$6.09
",January 29th 2019,4.19,39552,8360
J.D. Robb,Golden in Death,romance,387 pages,"Kindle Store
$14.99
",February 4th 2020,4.43,9520,1150
Emma Lord,Tweet Cute,romance,368 pages,Amazon,January 21st 2020,4.06,9470,2793
Melissa Foster,She Loves Me,romance,380 pages,Amazon,April 21st 2020,4.51,894,317
Melinda Leigh,Whisper of Bones,romance,97 pages,"Kindle Unlimited
",October 22nd 2019,4.11,4317,233
Melinda Leigh,Say You're Sorry,romance,329 pages,Amazon,May 16th 2017,4.03,78094,2806
Jojo Moyes,Still Me,romance,469 pages,Amazon,October 23rd 2018,4.14,131924,11686
Nicholas Sparks,Every Breath,romance,321 pages,"Kindle Store
$3.99
",October 16th 2018,4.04,49490,4342
Talia Hibbert,"Get a Life, Chloe Brown",romance,373 pages,Kobo,November 5th 2019,3.85,16940,3437
Joanna Glen,The Other Half of Augusta Hope,romance,384 pages,Amazon UK,June 13th 2019,4.27,5028,569
Tahereh Mafi,Imagine Me,romance,464 pages,Amazon,March 31st 2020,3.71,6418,1551
Elizabeth   Hunter,Suddenly Psychic,romance,324 pages,"Kindle Unlimited
",February 18th 2020,4.25,3670,548
Rachel Aaron,Night Shift Dragons,romance,398 pages,Amazon DE,May 5th 2020,4.42,191,25
Jill Santopolo,The Light We Lost,romance,328 pages,"Kindle Store
$12.99
",May 9th 2017,3.87,71805,7157
K.M. Shea,Magic Unleashed,romance,,Amazon,April 17th 2020,4.49,1085,121
Sarah J. Maas,Kingdom of Ash,romance,984 pages,Amazon,October 23rd 2018,4.60,107708,14017
Rosie Walsh,Ghosted,romance,337 pages,"Kindle Store
$2.99
",July 24th 2018,3.78,53248,5872
Elin Hilderbrand,Winter in Paradise,romance,320 pages,Amazon,October 9th 2018,4.04,37445,3328
Sarah J. Maas,Tower of Dawn,romance,680 pages,"Kindle Store
$6.55
",September 5th 2017,4.39,109014,11973
Brittney Sahin,On the Edge,romance,,Amazon,,4.16,3032,199
Shannon Mayer,Grave Magic Bounty,romance,338 pages,Amazon,February 18th 2020,4.44,3269,621
Kristen Callihan,Dear Enemy,romance,392 pages,"Kindle Unlimited
",March 31st 2020,4.05,3883,536
Jojo Moyes,After You,romance,352 pages,Amazon,July 19th 2016,3.73,276797,22436
Rochelle B. Weinstein,This Is Not How It Ends,romance,342 pages,"Kindle Unlimited
",January 1st 2020,4.12,8213,873
Kay Bratt,True to Me,romance,270 pages,"Kindle Unlimited
",December 10th 2019,4.35,2874,383
Kendra Elliot,Close to the Bone,romance,94 pages,"Kindle Unlimited
",October 23rd 2018,3.97,12665,557
Katherine Center,Things You Save in a Fire,romance,320 pages,"Kindle Store
$13.99
",August 13th 2019,4.05,42518,7339
Cora Seton,Issued to the Bride One Marine,romance,224 pages,"Kindle Store
$0.00
",November 14th 2017,4.46,1531,134
Beth O'Leary,The Switch,romance,400 pages,Amazon,April 16th 2020,4.31,2112,614
